"ID","Wave","TotalSpending","InternationalSpend","DomesticSpend","Female","Age","HomeState","HomeRegion","BookingTime","DeviceTypeMobileTablet","Windows.Android","PromotionsUsed","EaseOfUse","UsageDuration","BookingCount","AvailableFlights","Satisfaction","NetPromoterScore","TotalSatisfaction","WebsiteReturned","WebsiteReviewed","ReviewSentiment","ReviewMentionsWebsite"
4457,12,758,0,758,0,52,"NSW","Urban","6:00 PM - 12:00 AM",1,0,1,3,93,1,2,10,9,19,0,0,99,99
1714,5,3763,2199,1564,0,52,"NSW","Regional","6:00 PM - 12:00 AM",1,0,0,3,138,2,2,9,8,17,0,1,3,0
4594,12,2639,2248,391,0,42,"NSW","Regional","6:00 PM - 12:00 AM",0,1,0,1,23,2,3,3,2,5,0,0,99,99
1899,5,1457,1269,188,1,27,"NT","Remote","6:00 PM - 12:00 AM",1,0,0,3,90,1,4,10,9,19,1,0,99,99
5083,13,3240,1822,1418,0,37,"NSW","Regional","6:00 PM - 12:00 AM",0,1,0,3,136,4,2,3,1,4,0,0,99,99
8089,21,2123,0,2123,1,30,"TAS","Urban","6:00 PM - 12:00 AM",0,0,1,3,106,2,3,8,10,18,1,0,99,99
9763,25,2049,2049,0,1,75,"TAS","Urban","12:00 AM - 6:00 AM",0,0,1,3,158,1,3,4,3,7,0,0,99,99
4012,11,2121,1961,160,0,66,"NSW","Regional","6:00 PM - 12:00 AM",0,0,1,3,69,1,4,10,10,20,0,0,99,99
1320,4,2926,1708,1218,1,48,"VIC","Regional","6:00 AM - 12:00 PM",1,0,0,2,144,2,3,10,9,19,1,1,5,0
8949,23,312,0,312,0,64,"SA","Urban","6:00 PM - 12:00 AM",0,0,1,1,18,1,2,0,4,4,1,1,4,0
5689,15,1501,0,1501,1,36,"SA","Urban","6:00 PM - 12:00 AM",0,0,1,3,95,3,2,8,7,15,0,0,99,99
1662,5,1113,0,1113,0,41,"VIC","Urban","6:00 PM - 12:00 AM",1,1,1,3,102,1,2,9,9,18,0,0,99,99
3308,9,1038,0,1038,1,28,"VIC","Urban","12:00 AM - 6:00 AM",0,1,0,3,133,1,2,8,8,16,0,0,99,99
2317,6,1676,1195,481,0,57,"TAS","Urban","6:00 PM - 12:00 AM",0,1,1,2,143,3,3,9,10,19,0,0,99,99
